Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:48:43 PM
Exported by: paberbuj

Start: (-29.79, -25.09, 0.00)
End:   (30.24, -25.09, -0.23)

	40x40	20x20	10x10	Total
-30.029627	3.332435	0.000000	0.000000	3.332435
-30.004622	3.353621	0.000000	0.000000	3.353621
-29.979616	3.374808	0.000000	0.000000	3.374808
-29.954611	3.395994	0.000000	0.000000	3.395994
-29.929606	3.417180	0.000000	0.000000	3.417180
-29.904600	3.438367	0.000000	0.000000	3.438367
-29.879595	3.459553	0.000000	0.000000	3.459553
-29.854589	3.480104	0.000000	0.000000	3.480104
-29.829584	3.498998	0.000000	0.000000	3.498998
-29.804578	3.517893	0.000000	0.000000	3.517893
-29.779573	3.536787	0.000000	0.000000	3.536787
-29.754568	3.555681	0.000000	0.000000	3.555681
-29.729562	3.574575	0.000000	0.000000	3.574575
-29.704557	3.593470	0.000000	0.000000	3.593470
-29.679551	3.612364	0.000000	0.000000	3.612364
-29.654546	3.631258	0.000000	0.000000	3.631258
-29.629540	3.650152	0.000000	0.000000	3.650152
-29.604535	3.669363	0.000000	0.000000	3.669363
-29.579530	3.689390	0.000000	0.000000	3.689390
-29.554524	3.709417	0.000000	0.000000	3.709417
-29.529519	3.729444	0.000000	0.000000	3.729444
-29.504513	3.749471	0.000000	0.000000	3.749471
-29.479508	3.769498	0.000000	0.000000	3.769498
-29.454502	3.789525	0.000000	0.000000	3.789525
-29.429497	3.809552	0.000000	0.000000	3.809552
-29.404491	3.829578	0.000000	0.000000	3.829578
-29.379486	3.849605	0.000000	0.000000	3.849605
-29.354481	3.869893	0.000000	0.000000	3.869893
-29.329475	3.890849	0.000000	0.000000	3.890849
-29.304470	3.911805	0.000000	0.000000	3.911805
-29.279464	3.932761	0.000000	0.000000	3.932761
-29.254459	3.953717	0.000000	0.000000	3.953717
-29.229453	3.974674	0.000000	0.000000	3.974674
-29.204448	3.995631	0.000000	0.000000	3.995631
-29.179443	4.016589	0.000000	0.000000	4.016589
-29.154437	4.037547	0.000000	0.000000	4.037547
-29.129432	4.058505	0.000000	0.000000	4.058505
-29.104426	4.079847	0.000000	0.000000	4.079847
-29.079421	4.102160	0.000000	0.000000	4.102160
-29.054415	4.124471	0.000000	0.000000	4.124471
-29.029410	4.146783	0.000000	0.000000	4.146783
-29.004405	4.169094	0.000000	0.000000	4.169094
-28.979399	4.191405	0.000000	0.000000	4.191405
-28.954394	4.213716	0.000000	0.000000	4.213716
-28.929388	4.236026	0.000000	0.000000	4.236026
-28.904383	4.258336	0.000000	0.000000	4.258336
-28.879377	4.280645	0.000000	0.000000	4.280645
-28.854372	4.302976	0.000000	0.000000	4.302976
-28.829367	4.325361	0.000000	0.000000	4.325361
-28.804361	4.347747	0.000000	0.000000	4.347747
-28.779356	4.370133	0.000000	0.000000	4.370133
-28.754350	4.392519	0.000000	0.000000	4.392519
-28.729345	4.414906	0.000000	0.000000	4.414906
-28.704339	4.437293	0.000000	0.000000	4.437293
-28.679334	4.459680	0.000000	0.000000	4.459680
-28.654329	4.482068	0.000000	0.000000	4.482068
-28.629323	4.504456	0.000000	0.000000	4.504456
-28.604318	4.527025	0.000000	0.000000	4.527025
-28.579312	4.550042	0.000000	0.000000	4.550042
-28.554307	4.573059	0.000000	0.000000	4.573059
-28.529301	4.596076	0.000000	0.000000	4.596076
-28.504296	4.619093	0.000000	0.000000	4.619093
-28.479291	4.642110	0.000000	0.000000	4.642110
-28.454285	4.665127	0.000000	0.000000	4.665127
-28.429280	4.688144	0.000000	0.000000	4.688144
-28.404274	4.711161	0.000000	0.000000	4.711161
-28.379269	4.734178	0.000000	0.000000	4.734178
-28.354263	4.757583	0.000000	0.000000	4.757583
-28.329258	4.781941	0.000000	0.000000	4.781941
-28.304252	4.806298	0.000000	0.000000	4.806298
-28.279247	4.830654	0.000000	0.000000	4.830654
-28.254242	4.855011	0.000000	0.000000	4.855011
-28.229236	4.879367	0.000000	0.000000	4.879367
-28.204231	4.903723	0.000000	0.000000	4.903723
-28.179225	4.928078	0.000000	0.000000	4.928078
-28.154220	4.952433	0.000000	0.000000	4.952433
-28.129214	4.976788	0.000000	0.000000	4.976788
-28.104209	5.001604	0.000000	0.000000	5.001604
-28.079204	5.027539	0.000000	0.000000	5.027539
-28.054198	5.053475	0.000000	0.000000	5.053475
-28.029193	5.079410	0.000000	0.000000	5.079410
-28.004187	5.105346	0.000000	0.000000	5.105346
-27.979182	5.131282	0.000000	0.000000	5.131282
-27.954176	5.157219	0.000000	0.000000	5.157219
-27.929171	5.183156	0.000000	0.000000	5.183156
-27.904166	5.209093	0.000000	0.000000	5.209093
-27.879160	5.235031	0.000000	0.000000	5.235031
-27.854155	5.261529	0.000000	0.000000	5.261529
-27.829149	5.289371	0.000000	0.000000	5.289371
-27.804144	5.317213	0.000000	0.000000	5.317213
-27.779138	5.345054	0.000000	0.000000	5.345054
-27.754133	5.372895	0.000000	0.000000	5.372895
-27.729128	5.400736	0.000000	0.000000	5.400736
-27.704122	5.428576	0.000000	0.000000	5.428576
-27.679117	5.456416	0.000000	0.000000	5.456416
-27.654111	5.484256	0.000000	0.000000	5.484256
-27.629106	5.512095	0.000000	0.000000	5.512095
-27.604100	5.540129	0.000000	0.000000	5.540129
-27.579095	5.568624	0.000000	0.000000	5.568624
-27.554090	5.597120	0.000000	0.000000	5.597120
-27.529084	5.625616	0.000000	0.000000	5.625616
-27.504079	5.654112	0.000000	0.000000	5.654112
-27.479073	5.682609	0.000000	0.000000	5.682609
-27.454068	5.711106	0.000000	0.000000	5.711106
-27.429062	5.739603	0.000000	0.000000	5.739603
-27.404057	5.768101	0.000000	0.000000	5.768101
-27.379052	5.796599	0.000000	0.000000	5.796599
-27.354046	5.825522	0.000000	0.000000	5.825522
-27.329041	5.855447	0.000000	0.000000	5.855447
-27.304035	5.885373	0.000000	0.000000	5.885373
-27.279030	5.915299	0.000000	0.000000	5.915299
-27.254024	5.945225	0.000000	0.000000	5.945225
-27.229019	5.975151	0.000000	0.000000	5.975151
-27.204013	6.005078	0.000000	0.000000	6.005078
-27.179008	6.035006	0.000000	0.000000	6.035006
-27.154003	6.064933	0.000000	0.000000	6.064933
-27.128997	6.094861	0.000000	0.000000	6.094861
-27.103992	6.125212	0.000000	0.000000	6.125212
-27.078986	6.156548	0.000000	0.000000	6.156548
-27.053981	6.187884	0.000000	0.000000	6.187884
-27.028975	6.219219	0.000000	0.000000	6.219219
-27.003970	6.250555	0.000000	0.000000	6.250555
-26.978965	6.281890	0.000000	0.000000	6.281890
-26.953959	6.313226	0.000000	0.000000	6.313226
-26.928954	6.344561	0.000000	0.000000	6.344561
-26.903948	6.375897	0.000000	0.000000	6.375897
-26.878943	6.407232	0.000000	0.000000	6.407232
-26.853937	6.439012	0.000000	0.000000	6.439012
-26.828932	6.471816	0.000000	0.000000	6.471816
-26.803927	6.504620	0.000000	0.000000	6.504620
-26.778921	6.537424	0.000000	0.000000	6.537424
-26.753916	6.570228	0.000000	0.000000	6.570228
-26.728910	6.603031	0.000000	0.000000	6.603031
