Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-35.196514	4.141115
-35.171509	4.158355
-35.146503	4.175701
-35.121498	4.193153
-35.096492	4.210712
-35.071487	4.228378
-35.046481	4.246150
-35.021476	4.264029
-34.996471	4.282015
-34.971465	4.300107
-34.946460	4.318346
-34.921454	4.336705
-34.896449	4.355056
-34.871444	4.373400
-34.846438	4.390979
-34.821433	4.408473
-34.796427	4.426067
-34.771422	4.443761
-34.746417	4.461555
-34.721411	4.479449
-34.696406	4.497443
-34.671400	4.515537
-34.646395	4.533731
-34.621390	4.552025
-34.596384	4.570402
-34.571379	4.588698
-34.546373	4.606995
-34.521368	4.625291
-34.496362	4.643725
-34.471357	4.662248
-34.446352	4.680814
-34.421346	4.699424
-34.396341	4.718077
-34.371335	4.736773
-34.346330	4.755513
-34.321325	4.774296
-34.296319	4.793123
-34.271314	4.811992
-34.246308	4.830906
-34.221303	4.849933
-34.196298	4.868980
-34.171292	4.888038
-34.146287	4.907123
-34.121281	4.926258
-34.096276	4.945443
-34.071271	4.964678
-34.046265	4.983963
-34.021260	5.003298
-33.996254	5.022683
-33.971249	5.042118
-33.946244	5.061603
-33.921238	5.081138
-33.896233	5.100724
-33.871227	5.120368
-33.846222	5.140029
-33.821216	5.159697
-33.796211	5.179084
-33.771206	5.198286
-33.746200	5.217544
-33.721195	5.236857
-33.696189	5.256226
-33.671184	5.275651
-33.646179	5.295132
-33.621173	5.314668
-33.596168	5.334259
-33.571162	5.353907
-33.546157	5.373610
-33.521152	5.393454
-33.496146	5.413488
-33.471141	5.433657
-33.446135	5.454450
-33.421130	5.475839
-33.396125	5.497234
-33.371119	5.518635
-33.346114	5.540043
-33.321108	5.561458
-33.296103	5.582880
-33.271097	5.604308
-33.246092	5.625743
-33.221087	5.647184
-33.196081	5.668632
-33.171076	5.690048
-33.146070	5.711455
-33.121065	5.732955
-33.096060	5.754068
-33.071054	5.774445
-33.046049	5.794828
-33.021043	5.815218
-32.996038	5.835614
-32.971033	5.856017
-32.946027	5.876427
-32.921022	5.896843
-32.896016	5.917266
-32.871011	5.937696
-32.846006	5.958132
-32.821000	5.978643
-32.795995	5.999596
-32.770989	6.020686
-32.745984	6.041876
-32.720978	6.063075
-32.695973	6.084337
-32.670968	6.105662
-32.645962	6.127051
-32.620957	6.148503
-32.595951	6.170018
-32.570946	6.191597
-32.545941	6.213239
-32.520935	6.234944
-32.495930	6.256713
-32.470924	6.278545
-32.445919	6.300453
-32.420914	6.322410
-32.395908	6.344720
-32.370903	6.368242
-32.345897	6.391864
-32.320892	6.415586
-32.295887	6.439407
-32.270881	6.463329
-32.245876	6.487350
-32.220870	6.511472
-32.195865	6.535693
-32.170860	6.560015
-32.145854	6.584436
-32.120849	6.608957
-32.095843	6.633579
-32.070838	6.658251
-32.045832	6.682919
-32.020827	6.707338
-31.995822	6.731857
-31.970816	6.756476
-31.945811	6.781195
-31.920805	6.806014
-31.895800	6.830933
-31.870795	6.855951
-31.845789	6.881070
-31.820784	6.906288
-31.795778	6.931607
-31.770773	6.957025
-31.745768	6.982747
-31.720762	7.008718
-31.695757	7.034747
-31.670751	7.059870
-31.645746	7.085050
-31.620741	7.110286
-31.595735	7.135579
-31.570730	7.160928
-31.545724	7.186334
-31.520719	7.211797
-31.495713	7.237316
-31.470708	7.262891
-31.445703	7.288523
-31.420697	7.314212
-31.395692	7.339840
-31.370686	7.365336
-31.345681	7.390889
-31.320676	7.417986
-31.295670	7.445351
-31.270665	7.472914
-31.245659	7.500677
-31.220654	7.528639
-31.195649	7.556801
-31.170643	7.585161
-31.145638	7.613720
-31.120632	7.642478
-31.095627	7.671436
-31.070622	7.700592
-31.045616	7.730009
-31.020611	7.759846
-30.995605	7.789819
-30.970600	7.818155
-30.945594	7.846376
-30.920589	7.874755
-30.895584	7.903290
-30.870578	7.931982
-30.845573	7.960830
-30.820567	7.989836
-30.795562	8.018998
-30.770557	8.048316
-30.745551	8.077792
-30.720546	8.107424
-30.695540	8.137213
-30.670535	8.167156
-30.645530	8.197248
-30.620524	8.229065
-30.595519	8.261437
-30.570513	8.293923
-30.545508	8.326522
-30.520503	8.359234
-30.495497	8.392060
-30.470492	8.424999
-30.445486	8.458052
-30.420481	8.491218
-30.395476	8.524497
-30.370470	8.557890
-30.345465	8.591396
-30.320459	8.626022
-30.295454	8.661215
-30.270448	8.697825
-30.245443	8.735358
-30.220438	8.773365
-30.195432	8.811847
-30.170427	8.850804
-30.145421	8.890235
-30.120416	8.930141
-30.095411	8.970521
-30.070405	9.011377
-30.045400	9.052706
-30.020394	9.094511
-29.995389	9.136790
-29.970384	9.181042
-29.945378	9.226933
-29.920373	9.280118
-29.895367	9.340280
-29.870362	9.403742
-29.845357	9.470503
-29.820351	9.540564
-29.795346	9.613925
-29.770340	9.690584
-29.745335	9.770544
-29.720329	9.853803
-29.695324	9.940361
-29.670319	10.030219
-29.645313	10.123376
-29.620308	10.225424
-29.595302	10.339578
-29.570297	10.465751
-29.545292	10.602772
-29.520286	10.744003
-29.495281	10.889445
-29.470275	11.039098
-29.445270	11.192961
-29.420265	11.351035
-29.395259	11.513319
-29.370254	11.679814
-29.345248	11.850519
-29.320243	12.025435
-29.295238	12.204562
-29.270232	12.390537
-29.245227	12.588990
-29.220221	12.792204
-29.195216	12.998851
-29.170210	13.206135
-29.145205	13.414055
-29.120200	13.622612
-29.095194	13.831805
-29.070189	14.041635
-29.045183	14.252102
-29.020178	14.463205
-28.995173	14.674945
-28.970167	14.887322
-28.945162	15.100335
-28.920156	15.313801
-28.895151	15.522518
-28.870146	15.728886
-28.845140	15.930647
-28.820135	16.132073
-28.795129	16.333165
-28.770124	16.533923
-28.745119	16.734347
-28.720113	16.934438
-28.695108	17.134194
-28.670102	17.333616
-28.645097	17.532705
-28.620092	17.731459
-28.595086	17.929880
-28.570081	18.127966
-28.545075	18.321091
-28.520070	18.511752
-28.495064	18.698549
-28.470059	18.885594
-28.445054	19.072887
-28.420048	19.260428
-28.395043	19.448218
-28.370037	19.636255
-28.345032	19.824541
-28.320027	20.013074
-28.295021	20.201856
-28.270016	20.390886
-28.245010	20.580164
-28.220005	20.769690
-28.195000	20.956780
-28.169994	21.141448
