Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:47:06 PM
Exported by: paberbuj

Start: (-29.79, -20.00, 0.00)
End:   (30.24, -20.00, -0.23)

	40x40	20x20	10x10	Total
-30.029627	4.768365	0.000000	0.000000	4.768365
-30.004622	4.792970	0.000000	0.000000	4.792970
-29.979616	4.817575	0.000000	0.000000	4.817575
-29.954611	4.842180	0.000000	0.000000	4.842180
-29.929606	4.866785	0.000000	0.000000	4.866785
-29.904600	4.891390	0.000000	0.000000	4.891390
-29.879595	4.915996	0.000000	0.000000	4.915996
-29.854589	4.940261	0.000000	0.000000	4.940261
-29.829584	4.963638	0.000000	0.000000	4.963638
-29.804578	4.987014	0.000000	0.000000	4.987014
-29.779573	5.010391	0.000000	0.000000	5.010391
-29.754568	5.033768	0.000000	0.000000	5.033768
-29.729562	5.057145	0.000000	0.000000	5.057145
-29.704557	5.080522	0.000000	0.000000	5.080522
-29.679551	5.103898	0.000000	0.000000	5.103898
-29.654546	5.127275	0.000000	0.000000	5.127275
-29.629540	5.150652	0.000000	0.000000	5.150652
-29.604535	5.174380	0.000000	0.000000	5.174380
-29.579530	5.199013	0.000000	0.000000	5.199013
-29.554524	5.223647	0.000000	0.000000	5.223647
-29.529519	5.248281	0.000000	0.000000	5.248281
-29.504513	5.272914	0.000000	0.000000	5.272914
-29.479508	5.297548	0.000000	0.000000	5.297548
-29.454502	5.322182	0.000000	0.000000	5.322182
-29.429497	5.346815	0.000000	0.000000	5.346815
-29.404491	5.371449	0.000000	0.000000	5.371449
-29.379486	5.396083	0.000000	0.000000	5.396083
-29.354481	5.421061	0.000000	0.000000	5.421061
-29.329475	5.446918	0.000000	0.000000	5.446918
-29.304470	5.472775	0.000000	0.000000	5.472775
-29.279464	5.498633	0.000000	0.000000	5.498633
-29.254459	5.524490	0.000000	0.000000	5.524490
-29.229453	5.550347	0.000000	0.000000	5.550347
-29.204448	5.576205	0.000000	0.000000	5.576205
-29.179443	5.602062	0.000000	0.000000	5.602062
-29.154437	5.627919	0.000000	0.000000	5.627919
-29.129432	5.653777	0.000000	0.000000	5.653777
-29.104426	5.679918	0.000000	0.000000	5.679918
-29.079421	5.706775	0.000000	0.000000	5.706775
-29.054415	5.733633	0.000000	0.000000	5.733633
-29.029410	5.760490	0.000000	0.000000	5.760490
-29.004405	5.787348	0.000000	0.000000	5.787348
-28.979399	5.814205	0.000000	0.000000	5.814205
-28.954394	5.841063	0.000000	0.000000	5.841063
-28.929388	5.867921	0.000000	0.000000	5.867921
-28.904383	5.894778	0.000000	0.000000	5.894778
-28.879377	5.921636	0.000000	0.000000	5.921636
-28.854372	5.948779	0.000000	0.000000	5.948779
-28.829367	5.976636	0.000000	0.000000	5.976636
-28.804361	6.004494	0.000000	0.000000	6.004494
-28.779356	6.032352	0.000000	0.000000	6.032352
-28.754350	6.060210	0.000000	0.000000	6.060210
-28.729345	6.088069	0.000000	0.000000	6.088069
-28.704339	6.115927	0.000000	0.000000	6.115927
-28.679334	6.143786	0.000000	0.000000	6.143786
-28.654329	6.171645	0.000000	0.000000	6.171645
-28.629323	6.199504	0.000000	0.000000	6.199504
-28.604318	6.227655	0.000000	0.000000	6.227655
-28.579312	6.256527	0.000000	0.000000	6.256527
-28.554307	6.285398	0.000000	0.000000	6.285398
-28.529301	6.314270	0.000000	0.000000	6.314270
-28.504296	6.343142	0.000000	0.000000	6.343142
-28.479291	6.372013	0.000000	0.000000	6.372013
-28.454285	6.400885	0.000000	0.000000	6.400885
-28.429280	6.429756	0.000000	0.000000	6.429756
-28.404274	6.458628	0.000000	0.000000	6.458628
-28.379269	6.487499	0.000000	0.000000	6.487499
-28.354263	6.516795	0.000000	0.000000	6.516795
-28.329258	6.547128	0.000000	0.000000	6.547128
-28.304252	6.577460	0.000000	0.000000	6.577460
-28.279247	6.607793	0.000000	0.000000	6.607793
-28.254242	6.638126	0.000000	0.000000	6.638126
-28.229236	6.668458	0.000000	0.000000	6.668458
-28.204231	6.698790	0.000000	0.000000	6.698790
-28.179225	6.729122	0.000000	0.000000	6.729122
-28.154220	6.759454	0.000000	0.000000	6.759454
-28.129214	6.789785	0.000000	0.000000	6.789785
-28.104209	6.820555	0.000000	0.000000	6.820555
-28.079204	6.852389	0.000000	0.000000	6.852389
-28.054198	6.884223	0.000000	0.000000	6.884223
-28.029193	6.916056	0.000000	0.000000	6.916056
-28.004187	6.947890	0.000000	0.000000	6.947890
-27.979182	6.979723	0.000000	0.000000	6.979723
-27.954176	7.011557	0.000000	0.000000	7.011557
-27.929171	7.043391	0.000000	0.000000	7.043391
-27.904166	7.075224	0.000000	0.000000	7.075224
-27.879160	7.107058	0.000000	0.000000	7.107058
-27.854155	7.139045	0.000000	0.000000	7.139045
