Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:44:26 PM
Exported by: paberbuj

Start: (-29.79, -9.98, -29.57)
End:   (30.02, -9.98, 29.79)

	Campo 1
-42.148017	2.242176
-42.123012	2.265120
-42.098007	2.285478
-42.073001	2.303250
-42.047996	2.317122
-42.022990	2.323705
-41.997985	2.330338
-41.972980	2.337021
-41.947974	2.343754
-41.922969	2.350536
-41.897963	2.356993
-41.872958	2.363166
-41.847953	2.369389
-41.822947	2.375662
-41.797942	2.381985
-41.772936	2.388358
-41.747931	2.394781
-41.722926	2.401254
-41.697920	2.407777
-41.672915	2.414184
-41.647909	2.420558
-41.622904	2.426902
-41.597898	2.433215
-41.572893	2.439499
-41.547888	2.445702
-41.522882	2.451868
-41.497877	2.458084
-41.472871	2.464350
-41.447866	2.470666
-41.422861	2.477032
-41.397855	2.483448
-41.372850	2.489914
-41.347844	2.496430
-41.322839	2.503197
-41.297834	2.510050
-41.272828	2.516933
-41.247823	2.523845
-41.222817	2.530787
-41.197812	2.537779
-41.172807	2.544852
-41.147801	2.551974
-41.122796	2.559146
-41.097790	2.566367
-41.072785	2.573638
-41.047780	2.580959
-41.022774	2.588329
-40.997769	2.595749
-40.972763	2.603220
-40.947758	2.610717
-40.922752	2.618234
-40.897747	2.625770
-40.872742	2.633327
-40.847736	2.640853
-40.822731	2.648272
-40.797725	2.655721
-40.772720	2.663200
-40.747715	2.670708
-40.722709	2.678246
-40.697704	2.685814
-40.672698	2.693411
-40.647693	2.701038
-40.622688	2.708781
-40.597682	2.716682
-40.572677	2.724613
-40.547671	2.732574
-40.522666	2.740565
-40.497661	2.748701
-40.472655	2.757359
-40.447650	2.766016
-40.422644	2.774674
-40.397639	2.783332
-40.372633	2.791990
-40.347628	2.800647
-40.322623	2.809305
-40.297617	2.817963
-40.272612	2.826624
-40.247606	2.835326
-40.222601	2.844079
-40.197596	2.852882
-40.172590	2.861735
-40.147585	2.870673
-40.122579	2.879978
-40.097574	2.889333
-40.072569	2.898738
-40.047563	2.908193
-40.022558	2.917699
-39.997552	2.927254
-39.972547	2.936859
-39.947542	2.946514
-39.922536	2.956227
-39.897531	2.966429
-39.872525	2.976631
-39.847520	2.986834
-39.822514	2.997037
