Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:50 PM
Exported by: paberbuj

Start: (-29.79, -20.00, -29.57)
End:   (30.02, -20.00, 29.79)

	Campo 1
-42.148017	1.603927
-42.123012	1.622136
-42.098007	1.638529
-42.073001	1.653105
-42.047996	1.664909
-42.022990	1.671413
-41.997985	1.677916
-41.972980	1.684420
-41.947974	1.690923
-41.922969	1.697427
-41.897963	1.703648
-41.872958	1.709654
-41.847953	1.715711
-41.822947	1.721818
-41.797942	1.727974
-41.772936	1.734181
-41.747931	1.740437
-41.722926	1.746744
-41.697920	1.753101
-41.672915	1.759731
-41.647909	1.766389
-41.622904	1.773071
-41.597898	1.779777
-41.572893	1.786507
-41.547888	1.793255
-41.522882	1.800022
-41.497877	1.806816
-41.472871	1.813634
-41.447866	1.820479
-41.422861	1.827349
-41.397855	1.834245
-41.372850	1.841166
-41.347844	1.848113
-41.322839	1.855092
-41.297834	1.862097
-41.272828	1.869126
-41.247823	1.876178
-41.222817	1.883254
-41.197812	1.890447
-41.172807	1.897849
-41.147801	1.905301
-41.122796	1.912801
-41.097790	1.920352
-41.072785	1.927952
-41.047780	1.935601
-41.022774	1.943300
-40.997769	1.951048
-40.972763	1.958882
-40.947758	1.966770
-40.922752	1.974682
-40.897747	1.982617
-40.872742	1.990577
-40.847736	1.998530
-40.822731	2.006445
-40.797725	2.014409
-40.772720	2.022424
-40.747715	2.030488
-40.722709	2.038603
-40.697704	2.046767
-40.672698	2.054982
-40.647693	2.063246
-40.622688	2.071560
-40.597682	2.079921
-40.572677	2.088333
-40.547671	2.096793
-40.522666	2.105304
-40.497661	2.113885
-40.472655	2.122592
-40.447650	2.131323
-40.422644	2.140078
-40.397639	2.148857
-40.372633	2.157659
-40.347628	2.166485
-40.322623	2.175336
-40.297617	2.184210
-40.272612	2.193110
-40.247606	2.202044
-40.222601	2.211004
-40.197596	2.219990
-40.172590	2.229003
-40.147585	2.238082
-40.122579	2.247570
-40.097574	2.257108
-40.072569	2.266696
-40.047563	2.276335
-40.022558	2.286023
-39.997552	2.295761
-39.972547	2.305549
-39.947542	2.315387
-39.922536	2.325273
