Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 3:12:02 PM
Exported by: paberbuj

Start: (-29.81, -28.46, -30.09)
End:   (29.53, -28.46, 29.53)

	Campo 1
-35.598181	3.349964
-35.573176	3.365853
-35.548171	3.381716
-35.523166	3.397562
-35.498161	3.413475
-35.473156	3.429455
-35.448151	3.445503
-35.423146	3.461617
-35.398141	3.477799
-35.373136	3.494047
-35.348131	3.510462
-35.323126	3.527036
-35.298121	3.543692
-35.273116	3.560430
-35.248111	3.577249
-35.223106	3.594150
-35.198101	3.611132
-35.173096	3.628177
-35.148091	3.645272
-35.123086	3.662416
-35.098081	3.679610
-35.073076	3.696854
-35.048071	3.714148
-35.023066	3.731491
-34.998061	3.748886
-34.973055	3.766333
-34.948050	3.783829
-34.923045	3.801376
-34.898040	3.818973
-34.873035	3.836620
-34.848030	3.854316
-34.823025	3.872012
-34.798020	3.889702
-34.773015	3.907391
-34.748010	3.925079
-34.723005	3.942767
-34.698000	3.960454
-34.672995	3.978140
-34.647990	3.995876
-34.622985	4.013756
-34.597980	4.031705
-34.572975	4.049721
-34.547970	4.067804
-34.522965	4.085955
-34.497960	4.104173
-34.472955	4.123006
-34.447950	4.142240
-34.422945	4.161607
-34.397940	4.181105
-34.372935	4.200736
-34.347930	4.220500
-34.322924	4.240395
-34.297919	4.260411
-34.272914	4.280438
-34.247909	4.300465
-34.222904	4.320492
-34.197899	4.340518
-34.172894	4.360544
-34.147889	4.380570
-34.122884	4.400221
-34.097879	4.419492
-34.072874	4.438783
-34.047869	4.458091
-34.022864	4.477417
-33.997859	4.496762
-33.972854	4.516124
-33.947849	4.535468
-33.922844	4.554558
-33.897839	4.573648
-33.872834	4.592738
-33.847829	4.611828
-33.822824	4.630918
-33.797819	4.650008
-33.772814	4.669138
-33.747809	4.688422
-33.722804	4.707805
-33.697799	4.727288
-33.672793	4.746871
-33.647788	4.766553
-33.622783	4.786335
-33.597778	4.806227
-33.572773	4.826730
-33.547768	4.847315
-33.522763	4.867982
-33.497758	4.888729
-33.472753	4.909559
-33.447748	4.930470
-33.422743	4.951461
-33.397738	4.972453
-33.372733	4.993395
-33.347728	5.014286
-33.322723	5.035128
-33.297718	5.055919
-33.272713	5.076661
-33.247708	5.097352
-33.222703	5.117383
-33.197698	5.137370
-33.172693	5.157374
-33.147688	5.177395
-33.122683	5.197434
-33.097678	5.217489
-33.072673	5.237562
-33.047668	5.257469
-33.022663	5.277454
-32.997657	5.297523
-32.972652	5.317675
-32.947647	5.337912
-32.922642	5.358232
-32.897637	5.378637
-32.872632	5.399203
-32.847627	5.419840
-32.822622	5.440523
-32.797617	5.461254
-32.772612	5.482032
-32.747607	5.502857
-32.722602	5.523730
-32.697597	5.545481
-32.672592	5.567495
-32.647587	5.589560
-32.622582	5.611674
-32.597577	5.633840
-32.572572	5.656055
-32.547567	5.678321
-32.522562	5.700669
-32.497557	5.723037
-32.472552	5.745406
-32.447547	5.767774
-32.422542	5.790141
-32.397537	5.812508
-32.372532	5.834875
-32.347526	5.856654
-32.322521	5.878049
-32.297516	5.899412
-32.272511	5.920744
-32.247506	5.942043
-32.222501	5.963311
-32.197496	5.984547
-32.172491	6.005773
-32.147486	6.027086
-32.122481	6.048498
-32.097476	6.070008
-32.072471	6.091616
-32.047466	6.113322
-32.022461	6.135127
-31.997456	6.157030
-31.972451	6.179007
-31.947446	6.201050
-31.922441	6.223159
-31.897436	6.245334
-31.872431	6.267575
-31.847426	6.289882
-31.822421	6.312339
-31.797416	6.334912
-31.772411	6.357501
-31.747406	6.380107
-31.722401	6.402728
-31.697395	6.425365
-31.672390	6.448019
-31.647385	6.470992
-31.622380	6.494767
-31.597375	6.518541
-31.572370	6.542315
-31.547365	6.566087
-31.522360	6.589859
-31.497355	6.613631
-31.472350	6.637472
-31.447345	6.661415
-31.422340	6.685343
-31.397335	6.709256
-31.372330	6.733154
-31.347325	6.757036
-31.322320	6.780904
-31.297315	6.804694
-31.272310	6.828043
-31.247305	6.851592
-31.222300	6.875339
-31.197295	6.899286
-31.172290	6.923431
-31.147285	6.947776
-31.122280	6.972463
-31.097275	6.997623
-31.072270	7.022830
-31.047264	7.048086
-31.022259	7.073388
-30.997254	7.098739
-30.972249	7.124137
-30.947244	7.149583
-30.922239	7.173715
-30.897234	7.197780
-30.872229	7.221880
-30.847224	7.246015
-30.822219	7.270185
-30.797214	7.294389
-30.772209	7.318558
-30.747204	7.342413
-30.722199	7.366285
-30.697194	7.390174
-30.672189	7.414081
-30.647184	7.438004
-30.622179	7.461945
-30.597174	7.485903
-30.572169	7.509754
-30.547164	7.533524
-30.522159	7.557245
-30.497154	7.580917
-30.472149	7.604540
-30.447144	7.628114
-30.422139	7.651632
-30.397133	7.675156
-30.372128	7.698913
-30.347123	7.722902
-30.322118	7.747124
-30.297113	7.771579
-30.272108	7.796266
-30.247103	7.821186
-30.222098	7.846232
-30.197093	7.871328
-30.172088	7.896521
-30.147083	7.921813
-30.122078	7.947203
-30.097073	7.972690
-30.072068	7.998276
-30.047063	8.024156
-30.022058	8.050045
-29.997053	8.075935
-29.972048	8.101825
-29.947043	8.127714
-29.922038	8.153604
-29.897033	8.179493
-29.872028	8.205925
-29.847023	8.233184
