Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: PDD_Eq4
Course: C1
Date: Thursday, July 21, 2016 5:41:05 PM
Exported by: laldrovandi

Start: (0.01, 0.03, 0.00)
End:   (0.00, 33.86, 0.00)

	4x4	10x10	20x20	40x40	4x4w15	10x10w15	40x30w15	4x4w30	10x10w30	40x30w30	4x4w45	10x10w45	40x20w45	4x4w60	10x10w60	40x15w60	Total
0.700173	90.907979	91.898057	93.548802	95.307716	88.622163	89.318991	92.691861	87.375159	88.550847	92.558283	89.341250	89.707716	91.570061	89.370588	90.797862	93.194420	1454.761756
0.725179	91.588731	92.523301	94.091149	95.749025	89.415500	90.075679	93.296314	88.232253	89.346954	93.156214	90.127082	90.467699	92.231933	90.144204	91.493343	93.752775	1465.692155
0.750185	92.269483	93.148545	94.633495	96.190334	90.208837	90.832367	93.900768	89.089347	90.143062	93.754145	90.912915	91.227683	92.893805	90.917820	92.188824	94.311129	1476.622559
0.775191	92.950236	93.773789	95.175841	96.631643	91.002174	91.589055	94.505222	89.946441	90.939170	94.352077	91.698748	91.987668	93.555677	91.691437	92.884307	94.869485	1487.552968
0.800197	93.630988	94.399033	95.718188	97.072951	91.795512	92.345743	95.109675	90.803536	91.735278	94.950009	92.484581	92.747653	94.217550	92.465055	93.579790	95.427841	1498.483383
0.825203	94.311740	95.024277	96.260534	97.514260	92.588849	93.102431	95.714129	91.660631	92.531387	95.547942	93.270415	93.507638	94.879423	93.238673	94.275274	95.986198	1509.413802
0.850209	94.992492	95.649521	96.802880	97.955569	93.382187	93.859119	96.318584	92.517727	93.327496	96.145875	94.056249	94.267624	95.541297	94.012292	94.970759	96.544556	1520.344227
0.875216	95.352099	95.971803	97.061366	98.144435	93.817119	94.269065	96.614887	92.992015	93.762423	96.447654	94.473012	94.670212	95.882715	94.422088	95.331868	96.818548	1526.031309
0.900222	95.703932	96.286751	97.312980	98.327190	94.243374	94.670616	96.903730	93.457037	94.188606	96.742263	94.880840	95.064147	96.216375	94.823076	95.684883	97.085656	1531.591454
0.925228	96.055764	96.601698	97.564593	98.509945	94.669630	95.072167	97.192573	93.922058	94.614789	97.036873	95.288668	95.458082	96.550035	95.224065	96.037897	97.352765	1537.151602
0.950234	96.407596	96.916646	97.816207	98.692700	95.095885	95.473718	97.481416	94.387080	95.040972	97.331483	95.696496	95.852018	96.883696	95.625054	96.390913	97.619874	1542.711752
0.975240	96.759429	97.231593	98.067820	98.875455	95.522140	95.875269	97.770259	94.852101	95.467155	97.626093	96.104325	96.245954	97.217357	96.026043	96.743928	97.886983	1548.271905
1.000246	97.111261	97.546541	98.319434	99.058210	95.948396	96.276820	98.059102	95.317123	95.893339	97.920703	96.512153	96.639890	97.551018	96.427033	97.096944	98.154092	1553.832060
1.025253	97.463093	97.861488	98.571047	99.240965	96.374652	96.678372	98.347945	95.782146	96.319522	98.215313	96.919982	97.033826	97.884679	96.828023	97.449961	98.421202	1559.392217
1.050259	97.814926	98.176436	98.822661	99.423720	96.800907	97.079923	98.636789	96.247168	96.745706	98.509923	97.327811	97.427763	98.218340	97.229013	97.802978	98.688312	1564.952376
1.075265	98.166758	98.491384	99.074274	99.606475	97.227163	97.481475	98.925632	96.712191	97.171890	98.804533	97.735640	97.821700	98.552002	97.630004	98.155995	98.955422	1570.512538
1.100271	98.518590	98.806331	99.325888	99.789230	97.653419	97.883026	99.214475	97.177213	97.598074	99.099144	98.143470	98.215636	98.885664	98.030996	98.509013	99.222533	1576.072702
1.125277	98.658631	98.923938	99.398369	99.815256	97.846499	98.059451	99.296992	97.398204	97.791821	99.191030	98.308996	98.374003	98.996597	98.198515	98.644041	99.296959	1578.199303
1.150283	98.794091	99.037276	99.466976	99.837892	98.034535	98.231006	99.375045	97.613916	97.980539	99.278531	98.469282	98.527273	99.102712	98.360984	98.774354	99.367218	1580.251628
1.175290	98.929550	99.150614	99.535583	99.860527	98.222571	98.402560	99.453098	97.829627	98.169258	99.366032	98.629567	98.680544	99.208827	98.523453	98.904667	99.437476	1582.303954
1.200296	99.065010	99.263952	99.604190	99.883163	98.410606	98.574115	99.531151	98.045339	98.357976	99.453532	98.789853	98.833814	99.314942	98.685922	99.034981	99.507735	1584.356280
1.225302	99.200469	99.377290	99.672796	99.905799	98.598642	98.745670	99.609204	98.261051	98.546695	99.541033	98.950138	98.987085	99.421057	98.848391	99.165294	99.577993	1586.408607
1.250308	99.335928	99.490628	99.741403	99.928434	98.786678	98.917225	99.687257	98.476762	98.735413	99.628534	99.110423	99.140355	99.527173	99.010860	99.295608	99.648252	1588.460935
1.275314	99.471388	99.603966	99.810010	99.951070	98.974714	99.088780	99.765311	98.692474	98.924132	99.716035	99.270709	99.293626	99.633288	99.173330	99.425921	99.718511	1590.513263
1.300320	99.606847	99.717303	99.878617	99.973705	99.162750	99.260334	99.843364	98.908186	99.112850	99.803536	99.430994	99.446897	99.739403	99.335799	99.556235	99.788769	1592.565591
1.325327	99.742306	99.830641	99.947223	99.996341	99.350786	99.431889	99.921417	99.123898	99.301569	99.891037	99.591280	99.600167	99.845518	99.498269	99.686549	99.859028	1594.617920
