Patient Name: FANTOMARW3, 
Patient ID: 15072016
Plan: Perf Fot Eq4
Course: C1
Date: Thursday, July 21, 2016 6:42:09 PM
Exported by: laldrovandi

Start: (-25.00, 1.60, 0.00)
End:   (25.00, 1.60, 0.00)

	10x10	40x40	10x10w15	30x30w15	10x10w30	30x30w30	10x10w45	20x20w45	10x10w60	15x15w60	Total
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.075000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.125001	0.000000	4.805379	0.000000	4.469591	0.000000	6.523197	0.000000	0.000000	0.000000	0.000000	15.798166
0.150001	0.000000	4.832183	0.000000	4.477901	0.000000	6.529867	0.000000	0.000000	0.000000	0.000000	15.839951
0.175001	0.000000	4.858987	0.000000	4.486210	0.000000	6.536538	0.000000	0.000000	0.000000	0.000000	15.881735
0.200001	0.000000	4.885791	0.000000	4.494519	0.000000	6.543209	0.000000	0.000000	0.000000	0.000000	15.923519
0.225001	0.000000	4.912595	0.000000	4.502829	0.000000	6.549879	0.000000	0.000000	0.000000	0.000000	15.965303
0.250001	0.000000	4.939399	0.000000	4.511138	0.000000	6.556550	0.000000	0.000000	0.000000	0.000000	16.007087
0.275001	0.000000	4.966203	0.000000	4.519448	0.000000	6.563221	0.000000	0.000000	0.000000	0.000000	16.048871
0.300001	0.000000	4.993007	0.000000	4.527757	0.000000	6.569891	0.000000	0.000000	0.000000	0.000000	16.090656
0.325001	0.000000	5.019811	0.000000	4.536066	0.000000	6.576562	0.000000	0.000000	0.000000	0.000000	16.132440
